cpus,memory,heap,startup_seconds
0.5,512M,256M,51.99976849555969
0.5,512M,384M,36.30458092689514
0.5,512M,512M,35.54191303253174
0.5,768M,256M,38.2671000957489
0.5,768M,384M,27.808242797851562
0.5,768M,512M,47.41757941246033
0.5,768M,768M,32.071367263793945
0.5,1G,256M,39.587584018707275
0.5,1G,384M,29.141490697860718
0.5,1G,512M,28.1655056476593
0.5,1G,768M,34.6319465637207
0.5,1G,1G,33.928366899490356
0.5,1.5G,256M,31.641602993011475
0.5,1.5G,384M,27.816033840179443
0.5,1.5G,512M,37.1849000453949
0.5,1.5G,768M,37.918222188949585
0.5,1.5G,1G,39.93529677391052
0.5,1.5G,1.25G,27.43304133415222
0.5,1.5G,1.5G,36.5023717880249
0.5,2G,256M,38.722445249557495
0.5,2G,384M,27.245859146118164
0.5,2G,512M,32.26233220100403
0.5,2G,768M,41.167882204055786
0.5,2G,1G,33.37066626548767
0.5,2G,1.25G,42.35268521308899
0.5,2G,1.5G,41.10628414154053
0.5,2G,2G,44.707030057907104
0.5,3G,256M,11.131292343139648
0.5,3G,384M,12.770509958267212
0.5,3G,512M,15.16311764717102
0.5,3G,768M,12.261045932769775
0.5,3G,1G,12.020296573638916
0.5,3G,1.25G,11.1721510887146
0.5,3G,1.5G,15.326082706451416
0.5,3G,2G,12.370023488998413
0.5,3G,2.5G,13.51210880279541
0.5,4G,256M,11.762810468673706
0.5,4G,384M,11.257354021072388
0.5,4G,512M,14.624452590942383
0.5,4G,768M,14.235919713973999
0.5,4G,1G,10.626985311508179
0.5,4G,1.25G,10.545936822891235
0.5,4G,1.5G,13.291765928268433
0.5,4G,2G,11.585447072982788
0.5,4G,2.5G,11.8179030418396
0.75,512M,256M,16.638113260269165
0.75,512M,384M,14.40324330329895
0.75,512M,512M,15.43212342262268
0.75,768M,256M,16.331663370132446
0.75,768M,384M,17.56524109840393
0.75,768M,512M,18.054337978363037
0.75,768M,768M,17.798845529556274
0.75,1G,256M,16.380646467208862
0.75,1G,384M,14.771278381347656
0.75,1G,512M,15.729923725128174
0.75,1G,768M,17.239153623580933
0.75,1G,1G,19.97744345664978
0.75,1.5G,256M,17.661635637283325
0.75,1.5G,384M,15.010107517242432
0.75,1.5G,512M,19.562479734420776
0.75,1.5G,768M,16.178457260131836
0.75,1.5G,1G,17.583312273025513
0.75,1.5G,1.25G,16.445155143737793
0.75,1.5G,1.5G,20.235629558563232
0.75,2G,256M,17.751760721206665
0.75,2G,384M,13.95286750793457
0.75,2G,512M,16.807270765304565
0.75,2G,768M,16.926218032836914
0.75,2G,1G,14.430707216262817
0.75,2G,1.25G,19.39102029800415
0.75,2G,1.5G,14.71370530128479
0.75,2G,2G,15.983514547348022
0.75,3G,256M,15.078962564468384
0.75,3G,384M,11.018779039382935
0.75,3G,512M,11.840213537216187
0.75,3G,768M,12.031290769577026
0.75,3G,1G,12.945390224456787
0.75,3G,1.25G,13.346826791763306
0.75,3G,1.5G,12.537009000778198
0.75,3G,2G,12.14114761352539
0.75,3G,2.5G,14.932664632797241
0.75,4G,256M,13.836894989013672
0.75,4G,384M,15.068528413772583
